Xcalibur HeliTEM 21m — gate report

Base frequency: 15.0 Hz

Pulse width:    11.6618 ms

Off-time:       21.6715 ms


Nominal Transmitter Current: 220.0 A

Nominal Dipole moment:       304480 A m²

Gate    StartTime      EndTime      MidTime        Width   StartOffTime   EndOffTime   MidOffTime
   1      11.7106      11.7269      11.7188       0.0163         0.0488       0.0651       0.0570
   2      11.7269      11.7432      11.7350       0.0163         0.0651       0.0814       0.0732
   3      11.7432      11.7676      11.7554       0.0244         0.0814       0.1058       0.0936
   4      11.7676      11.8001      11.7839       0.0326         0.1058       0.1383       0.1221
   5      11.8001      11.8408      11.8205       0.0407         0.1383       0.1790       0.1587
   6      11.8408      11.8896      11.8652       0.0488         0.1790       0.2279       0.2035
   7      11.8896      11.9548      11.9222       0.0651         0.2279       0.2930       0.2604
   8      11.9548      12.0361      11.9954       0.0814         0.2930       0.3743       0.3337
   9      12.0361      12.1338      12.0850       0.0977         0.3743       0.4720       0.4232
  10      12.1338      12.2640      12.1989       0.1302         0.4720       0.6022       0.5371
  11      12.2640      12.4268      12.3454       0.1628         0.6022       0.7650       0.6836
  12      12.4268      12.6302      12.5285       0.2035         0.7650       0.9684       0.8667
  13      12.6302      12.8906      12.7604       0.2604         0.9684       1.2288       1.0986
  14      12.8906      13.2243      13.0575       0.3337         1.2288       1.5625       1.3957
  15      13.2243      13.6475      13.4359       0.4232         1.5625       1.9857       1.7741
  16      13.6475      14.1846      13.9160       0.5371         1.9857       2.5228       2.2542
  17      14.1846      14.8682      14.5264       0.6836         2.5228       3.2064       2.8646
  18      14.8682      15.7308      15.2995       0.8626         3.2064       4.0690       3.6377
  19      15.7308      16.8294      16.2801       1.0986         4.0690       5.1676       4.6183
  20      16.8294      18.2210      17.5252       1.3916         5.1676       6.5592       5.8634
  21      18.2210      19.9951      19.1081       1.7741         6.5592       8.3333       7.4463
  22      19.9951      22.2412      21.1182       2.2461         8.3333      10.5794       9.4564
  23      22.2412      25.0977      23.6694       2.8564        10.5794      13.4359      12.0076
  24      25.0977      28.7272      26.9124       3.6296        13.4359      17.0654      15.2507
  25      28.7272      33.3333      31.0303       4.6061        17.0654      21.6715      19.3685
